STA,lat,lon,n_arrivals
CCB,64.6467,-147.8050,39
SCM,61.8333,-147.3280,39
LAST,35.1611,25.4786,39
AYDN,37.6608,27.8792,39
IZAR,55.7497,26.2458,39
NONG,18.0635,103.1457,39
PPT2,-17.5896,-149.5764,39
PLG,40.3739,23.4456,38
RUE,52.4800,13.7800,38
BCA,41.4450,41.6223,38
J20K,64.1767,-154.1467,38
KTH,63.5530,-150.9220,38
F21K,67.2221,-153.4830,38
NRS,61.1595,-45.4188,38
G24K,66.7004,-147.4754,38
KMPD,48.5630,26.4600,38
UTTA,17.7443,100.5541,38
IM3,65.9835,-153.7490,38
WLF1,53.2894,-4.3966,38
THE,40.6322,22.9650,38
RIDG,63.7399,-144.8462,38
I23K,65.1479,-149.3603,38
SABO,45.9875,13.6337,38
DLBC,58.4372,-130.0270,38
BNX,45.7394,127.4045,38
HSPB,77.0019,15.5332,38
KLV,38.0437,22.1504,38
BLGI,32.7334,35.1913,37
EDI,55.9233,-3.1875,37
JSA,49.1879,-2.1709,37
KSM,1.4733,110.3083,37
FCC,58.7617,-94.0867,37
TAPN,27.3500,87.7100,37
SMAN,26.1780,48.0650,37
UMPA,16.2057,98.8603,37
BKNI,0.3262,101.0396,37
CM01,18.4205,98.9588,37
BUR04,47.6182,25.2122,37
ODAN,26.8600,87.3900,37
VLC,44.1594,10.3864,37
WET,49.1440,12.8782,36
ISRB,37.8250,47.6667,36
YTIR,31.3630,35.1160,36
NANT,18.8000,100.7000,36
WOL,51.3127,-1.2228,36
BATM,41.6040,41.6936,36
JETT,69.5557,20.4095,36
BATI,-10.2065,123.6633,35
EUNU,80.0533,-86.4158,35
NVS,54.8406,83.2344,35
QSDN,36.5036,49.1740,35
SIMJ,38.6585,69.0083,35
ILULI,69.2121,-51.1048,35
CRAI,20.2289,100.3734,35
PLVB,43.3870,24.6207,35
WRH,64.4713,-148.0900,35
MONM,51.8396,-2.8054,35
D25K,69.3220,-146.3751,35
IMON,33.1922,59.6667,35
CHKK,43.8540,76.9880,35
RC01,61.0894,-149.7367,35
MFTR,44.1779,28.4224,35
TBJM,35.2679,60.3292,35
K29M,63.8433,-137.5201,35
COI,40.2080,-8.4124,35
E25K,68.1207,-145.5680,35
KOGS,46.4481,16.2503,35
OTAV,0.2376,-78.4508,35
G27K,66.8088,-141.6549,35
SLTI,32.2405,35.0403,34
MSEY,-4.6737,55.4792,34
PHPEN,-25.4755,22.8573,34
PDAR,42.7667,-109.5579,34
STOK,66.3330,13.0177,34
PRA,50.0703,14.4331,34
SULR,44.6785,26.2551,34
GUR,37.9363,22.3423,34
MOL,62.5700,7.5480,34
WUS,41.1990,79.2180,34
CLDR,39.1431,43.9170,34
HORT,40.5978,23.0996,34
PBA,11.6559,92.7428,34
CHOS,38.3868,26.0550,34
DGAR,-7.4121,72.4525,34
LABN,44.6413,40.7236,34
ANKY,35.8670,23.3012,34
DIVS,44.0982,19.9917,34
TRI,45.7089,13.7642,34
FRU,42.8333,74.6167,33
UBR,47.6807,10.1080,33
GANJ,40.6460,46.3220,33
BISRR,45.5481,26.7099,33
BJI2,40.0188,116.1702,33
MMB,41.5470,23.7495,33
YHNB,24.6697,121.3757,33
IEMG,37.4155,58.6522,33
ESBB,39.6755,-3.9617,33
J26L,64.5012,-143.5636,33
HABR,48.4730,135.0510,33
LPHEP,-23.3630,25.8596,33
ASYS,27.5046,44.3412,33
KIRS,39.1329,33.9168,33
SLIT,57.6287,22.2905,33
RGN,54.5477,13.3214,33
DBG,74.3071,-20.2193,32
GEA0,48.8368,13.7019,32
B21K,69.6211,-154.6128,32
SEKA,41.2090,47.1980,32
DOU,50.0960,4.5950,32
UTHA,15.5586,99.4451,32
BRDH,22.6770,91.6425,32
STAL,46.2601,12.7104,32
TNTI,0.7718,127.3667,32
TOLI2,1.1112,120.7817,32
AS01,-23.6647,133.9510,32
FAUS,67.3820,15.2878,32
SML,61.8070,-148.3318,32
DBF,25.5831,56.3165,32
PBUR,56.0236,21.9294,32
PAOL,41.0312,14.5675,32
H24K,65.8371,-147.8781,32
BODT,37.0621,27.3104,32
LKD2,38.7889,20.6578,32
STHS,49.4167,21.2437,31
SUE,61.0570,4.7610,31
VAE,37.4783,14.4119,31
WAG,23.6671,55.4891,31
AAE,9.0292,38.7656,31
MOX,50.6447,11.6156,31
PRP,65.5174,-145.5246,31
KER,34.3850,47.1319,31
NEEM,77.4450,-51.0650,31
PMTG,39.0690,-8.2253,31
KLU,61.4924,-145.9227,31
ESY,55.9178,-2.6144,31
LBWR,53.4016,-1.7248,31
IGT,39.5325,20.3325,31
ARCR,47.0855,24.3537,31
FDMO,43.0365,13.0873,31
DID,37.5063,23.2368,31
BTO2,40.7437,109.8780,31
DESE,11.1180,39.6352,31
SKN,61.9800,-151.5317,31
LOEI,17.5093,101.6244,30
PCVE,37.6320,-8.0390,30
KGCAE,-22.8538,22.2068,30
POO,18.5295,73.8492,30
PLD,42.1469,24.7475,30
CUKT,37.2474,43.6076,30
E24K,68.0748,-148.4868,30
XOR,39.3661,23.1919,30
PSA00,-21.5726,119.8459,30
KHSK,26.7568,57.0528,30
BEL,51.8355,20.7888,30
OUR,40.3344,23.9819,30
TYV,50.8630,142.6560,30
FYU,66.5660,-145.2320,30
I28M,65.4483,-139.9355,30
L14K,61.3416,-162.6829,30
MDSI,-4.4861,104.1783,30
DRO,37.9523,21.7104,30
DRUM,56.9126,-2.4865,30
IL1,64.7716,-146.8860,30
OFRI,32.6210,34.9850,30
B22K,70.3400,-153.4196,30
MAUC,49.3655,17.8278,30
PSN,43.6375,28.1359,29
USA0B,44.1999,131.9887,29
VADS,70.1202,29.3605,29
SUA,61.4636,-150.7467,29
PHET,12.9100,99.6300,29
M27K,62.3579,-141.8780,29
LAWE,56.2601,-5.3990,29
K20K,63.3569,-154.0700,29
BSEG,53.9353,10.3169,29
SLVN,21.3338,103.9050,29
BCLA,50.4196,5.3029,29
WPS,53.4004,-4.4986,29
KNGR,50.6043,97.5171,29
PTOM,39.6180,-8.4107,29
NAX,39.1740,45.4950,29
L27K,63.0618,-141.8275,29
THKV,35.9157,50.8788,29
GBN,45.4078,-61.5128,29
MEM,50.6087,6.0096,28
VLDR,45.8443,28.0808,28
HYA,61.1660,6.1870,28
G31M,66.9227,-134.2708,28
VLX,37.3703,22.3793,28
NEUR,43.2631,42.7016,28
RSBS,51.9530,-4.7448,28
KOOLE,-22.9931,20.1956,28
ABGH,36.7352,54.7994,28
SONA1,47.8468,106.4032,28
D23K,68.9656,-150.6807,28
SKT,61.9800,-151.5317,28
YER,37.1347,28.2828,28
JURR,44.7661,28.8769,28
J19K,63.9940,-155.6214,28
MNGR,40.7730,47.0850,28
ONER,46.3349,26.3940,28
SZH,43.2653,25.9763,28
SSE,31.0956,121.1867,27
HOPEN,76.5100,25.0100,27
H31M,65.8052,-134.3426,27
E27K,68.1861,-141.5951,27
PRD,43.1602,27.4099,27
LKGWB,-24.1135,21.7823,27
KSDI,33.1920,35.6590,27
JMIC,70.9866,-8.5052,27
WIN,-22.5667,17.1000,27
VANB,38.5950,43.3890,27
GKP,53.2697,17.2367,27
CSKK,47.3631,18.2605,27
SRAK,14.0120,102.0425,27
PNCL,38.1118,-8.5289,27
DEL,56.4701,13.8705,27
MCD,57.5828,-3.2542,27
RDOG,68.0541,-162.9080,27
SVSK,39.9170,36.9980,27
IRK,52.2431,104.2711,27
DIGO,40.4147,43.3742,27
KFJS2,28.3481,48.3957,27
LIS,38.7180,-9.1505,26
VLI,36.7182,22.9370,26
SHMJ,32.7270,35.7640,26
DAV,7.0700,125.5790,26
ZHN,43.1680,78.4350,26
COPA,44.1343,25.2172,26
PANO,17.1476,104.6122,26
CHBG,43.0129,42.0850,26
AOS,39.1703,23.8800,26
IAFJ,35.8560,51.7125,26
ICESG,69.0900,-39.6500,26
G23K,66.7108,-150.0239,26
UJAP,31.9520,35.4644,26
E21K,68.4414,-153.9721,26
BEHE,46.4702,16.7755,26
ANGG,65.6160,-37.6370,26
VISS,45.8033,14.8393,26
ROTZ,49.7669,12.2070,26
IKIA,36.2070,53.6837,26
WB2,-19.9428,134.3511,26
TAVA,37.4657,28.9132,26
NVR,41.3500,23.8619,26
SANI,-2.0496,125.9881,26
RQBS,27.3401,45.9610,26
F28M,67.6136,-139.8717,26
MTN,-12.8436,131.1327,26
KKB,41.8417,23.1287,26
F15K,65.7077,-164.6483,26
PSARD,39.6003,-8.1623,26
ZKR,35.1147,26.2170,26
LRW,60.1360,-1.1779,25
LIA,39.8981,25.1831,25
D24K,69.1532,-148.8233,25
PHRA,18.4989,100.2290,25
PGB,42.5137,24.1734,25
KONT,37.9453,32.3605,25
AXAR,38.7664,22.6590,25
KNK,61.4131,-148.4585,25
PAX,62.9699,-145.4699,25
HKZM,35.3775,48.9045,25
IAZR,37.6783,45.9800,25
KVT,41.0806,36.0464,25
NPW,19.7785,96.1376,25
SKNT,16.9742,103.9815,25
MYKOM,1.7900,103.8500,25
LKRN,38.7100,48.7790,25
SRE,44.6622,23.2052,25
SADO,44.7694,-79.1417,25
RPSI,2.6951,98.9240,25
RZN,41.6941,24.7388,25
SMG,37.7087,26.8370,25
ABNA,48.6705,15.4332,25
IVI,61.2058,-48.1712,25
CEL,38.2594,15.8939,25
L19K,62.1816,-154.8543,25
SRN,39.8800,20.0005,24
KS01,37.4766,127.8940,24
MORW,-29.0679,116.0403,24
IDGL,55.0730,-7.5100,24
AKTK,50.4348,58.0164,24
SVAN,38.1511,41.1984,24
I27K,65.6035,-141.6153,24
LADK,38.2000,32.3648,24
GAMB,63.7758,-171.7035,24
HNS,37.3991,114.7073,24
TTG,42.4302,19.2553,24
PUK,42.0427,19.8928,24
H23K,65.8251,-149.5432,24
PURM,46.5293,29.8723,24
DHR,26.3039,50.1389,24
SMLA,31.1283,77.1667,24
MBWA,-21.1590,119.7312,24
JHJ,33.1192,139.7833,24
NORES,60.7353,11.5414,24
NRDL,52.4943,10.1073,24
KMI2,25.1481,102.7472,24
KHOR,25.6227,51.5119,24
MANEM,37.5423,71.6801,24
IMOG,36.1082,59.3393,24
MI28,50.9305,27.6694,24
WINA,48.1074,16.0731,24
TJN,36.3772,127.3638,24
MNAS,42.4894,72.5067,24
SECR,45.0355,26.0676,24
VASR,46.6415,27.7911,24
BOVS,43.6351,21.7057,24
GVD,34.8391,24.0874,24
BALY,39.7403,27.6195,24
LCO,-29.0111,-70.7010,23
H29M,66.2191,-138.3689,23
PRK,39.2461,26.2717,23
HPK,53.9581,-1.6241,23
SULT,38.1988,33.5156,23
SNF,50.5086,4.2833,23
BR104,39.7074,33.6414,23
KEPZ,36.9015,31.6039,23
MPSI,0.3374,119.8980,23
ES19,39.7006,-3.8991,23
AKDM,38.3285,42.9800,23
KPL,57.3391,-5.6527,23
MAKU,39.3548,44.6833,23
E22K,68.1343,-151.8132,23
SVRH,39.4469,31.5230,23
CISI,-7.5557,107.8153,23
KKM,6.0443,116.2147,23
J16K,63.2842,-160.6021,23
VOI,-21.9065,46.7933,23
BUD,47.4836,19.0239,23
DARE,38.5712,37.4832,23
DHK1,36.8606,42.8665,23
NDI,28.6853,77.2159,23
NEA2,64.5928,-149.0694,23
TOKT,40.3203,36.5448,23
MSSA,44.3162,9.5174,23
N19K,60.8132,-154.4838,23
FAKI,-2.9192,132.2489,23
IMRD,38.7133,45.7030,23
INCN,37.4830,126.6330,23
WALJ,31.5620,35.8110,22
QASN,33.5328,36.2761,22
MAT,36.5427,138.2070,22
KMRS,37.5053,36.9000,22
IBBN,52.3072,7.7566,22
OUL,65.0859,25.8926,22
E29M,68.3889,-137.8969,22
LAKA,38.2401,21.9785,22
GDLE,54.4218,-0.8157,22
TURN,36.7753,28.2444,22
F31M,67.4410,-133.7420,22
GRTLG,-21.3619,21.2157,22
D19K,68.4946,-158.1151,22
YULB,23.3924,121.2973,22
YKW3,62.5608,-114.6160,22
CORM,40.1785,34.6302,22
DHRM,32.2500,76.3000,22
ILP6,35.4736,50.4257,22
SARP,31.9215,72.6718,22
DRME,42.1867,19.1843,22
KDZ,41.6302,25.3396,22
BRBR,33.4113,35.9508,22
ATAL,38.6926,23.0213,22
BORU,57.6345,12.7697,22
RMAH,25.3450,46.8840,22
MSF,65.9113,29.0402,22
KZRD,31.0119,56.6286,22
MD01,32.8680,-4.7591,22
SESA,47.1132,14.5668,22
SFK,40.0172,73.5063,22
JOF,62.9182,31.3124,22
LEF,35.1193,32.8903,22
EAB,56.1881,-4.3400,22
SHEL,-15.9588,-5.7457,22
ISHB,38.2833,45.6170,21
VAM,35.4069,24.1997,21
TOTH,33.3613,36.4283,21
JAGI,-8.4702,114.1521,21
BUG,51.4406,7.2693,21
JAVS,45.8934,14.0643,21
BSYO,22.7310,57.2402,21
LEIR,66.1118,13.1151,21
EDA,3.7789,10.1534,21
URFA,37.4410,38.8213,21
DY2G,66.4740,-46.2639,21
PMOZ,32.8230,-17.1970,21
E18K,67.4213,-160.6027,21
SSLB,23.7875,120.9540,21
STRD,51.7763,-2.1639,21
PCAB,41.7102,-8.0270,21
H17K,64.9370,-159.9126,21
RCBR,-5.8275,-35.9014,21
I21K,65.1800,-151.9822,21
ELND,42.9287,25.8751,21
CHAI,15.9018,101.9864,21
TBI,-23.3489,-149.4608,21
KMY,59.2120,5.2470,21
ICOR,44.1168,27.8009,21
RETH,52.7379,9.3611,21
G21K,66.5156,-153.5058,21
RLS,38.0578,21.4667,21
GIRR,46.9551,26.5008,21
RJOB,47.7372,12.7957,21
DLV,11.9433,108.4867,20
J30M,64.5753,-136.3304,20
AGRB,39.5755,42.9920,20
C27K,69.6260,-143.7114,20
NKL,53.1500,140.6800,20
TRQA,-38.0567,-61.9795,20
K24K,63.8036,-145.7784,20
C26K,69.9175,-144.9122,20
LWLI,-5.0175,104.0589,20
HCY,42.4473,18.4938,20
ALE,82.5033,-62.3500,20
F30M,67.6106,-135.7863,20
HSKC,50.6072,13.4317,20
VLS,38.1772,20.5897,20
LEM,-6.8266,107.6175,20
LVC,-22.6100,-68.9100,20
KS19,37.5019,127.8669,20
VARL,45.8996,27.8487,20
ARIRA,26.2324,48.8869,20
BJO1,74.5020,18.9990,20
D20K,68.7132,-156.6132,20
PBDV,37.2430,-7.9312,20
VLY,37.8524,23.7942,20
GHO,61.7722,-148.9240,20
SUKH,17.4821,99.6310,20
SIRN,37.4962,42.4130,19
PRAC,12.4726,99.7929,19
SHUT,38.5530,30.5511,19
KASI,-5.5236,104.4967,19
SALO,45.6183,10.5243,19
BLKB,43.6227,22.6750,19
ISK,41.0656,29.0592,19
H22K,65.8937,-151.3773,19
DYA,50.4352,-3.9309,19
BBJI,-7.4626,107.6500,19
NEW,48.2642,-117.1227,19
TLBR,44.5445,28.0467,19
BSR2,30.2927,47.6191,19
GULT,40.4323,30.5150,19
TNS,50.2225,8.4473,19
LONY,44.6197,-74.5829,19
E28M,68.6043,-139.5349,19
SYO,-69.0088,39.5921,19
ARTV,41.1849,41.9283,19
F19K,66.8332,-157.7728,19
DSHG,42.0001,44.7181,19
G30M,66.9808,-136.2216,19
ARLS,41.8527,74.3355,19
IGLA,53.4195,-9.3750,19
L26K,63.0254,-143.3478,19
GCAM,37.7002,27.2335,19
YKAW1,62.4822,-114.4842,19
SWQJ,31.4046,36.0995,19
GUMO,13.5891,144.8686,19
VAL,51.9394,-10.2442,19
LBNH,44.2401,-71.9259,19
DALY,36.8171,28.6536,19
VLAD,43.9986,24.4038,19
VLA,43.1196,131.8848,19
HGN,50.7640,5.9317,19
STEB,49.9343,17.7728,19
VRTB,39.1603,41.4558,18
GTTG,51.5451,9.9647,18
ZKTA,41.6380,46.6220,18
SILT,41.1530,29.6430,18
LPL,45.5164,6.7324,18
KRUS,41.3689,21.2488,18
PHSR,41.6307,27.5239,18
STKA,-31.8769,141.5952,18
SNART,58.3387,7.2097,18
E23K,68.0584,-149.6163,18
CLTB,37.5786,13.2156,18
EVR,38.9167,21.8087,18
AQBJ,29.7280,35.0500,18
MI29,50.4180,27.8500,18
AK21,50.7764,29.0419,18
BBB,52.1847,-128.1130,18
RSDY,40.3972,37.3273,18
BRY,42.9016,18.5389,18
PMAR,32.7237,-16.9137,18
PTK,38.8920,39.3920,18
MNAI,-4.3605,102.9557,18
JDRJ,30.7280,35.6660,18
FLTG,52.3306,11.2372,18
KEBE,36.4470,33.7132,18
BNGB,38.9913,40.6790,18
M17K,61.4009,-157.4375,18
SVRC,38.3784,39.3063,18
H18K,65.1527,-158.3633,18
KRND,37.3830,23.1502,18
PYL,36.8955,21.7420,18
LPG,45.4977,6.7514,18
F24K,67.5187,-147.8871,18
QYSM,27.8540,46.8750,18
HNTI,33.0830,35.1740,18
IMMV,35.4606,23.9811,18
TCOL,64.8735,-147.8618,18
KORT,37.0007,30.3503,18
SLV,21.3252,103.9067,17
GZH,23.0869,113.3440,17
SHBH1,23.5212,51.5741,17
BHL,33.9042,35.6542,17
M26K,62.4013,-142.9963,17
DRLN,49.2560,-57.5042,17
TPUB,23.3005,120.6296,17
M19K,61.9037,-154.3915,17
LLW,52.8492,-3.6650,17
KARA,37.2607,35.0546,17
H19K,65.5276,-156.4494,17
BIGH,58.4933,-3.9105,17
SAHE,40.8525,30.8536,17
HAL,44.6377,-63.5920,17
YOJ,24.4617,123.0108,17
YURE,36.8259,35.6324,17
SARI,38.4072,36.4182,17
G17K,65.5011,-160.6514,17
G18K,65.8950,-158.6540,17
EDRB,41.8470,26.7440,17
VAGH,66.7303,13.2705,17
F17K,66.4420,-161.2502,17
AK09,50.6151,29.2846,17
TANN,50.4149,12.4616,17
SRTM,37.9911,41.9223,17
SENK,40.5614,42.3505,17
BERE,36.3474,33.2229,17
MRSI,0.4771,121.9406,17
AMT,37.5324,21.7089,17
MALK,8.3968,80.5425,17
BOSR,46.0749,25.6611,16
TOPG,44.8764,28.3782,16
KTUT,40.9870,39.7667,16
MD31,32.8670,-4.7590,16
KULU,39.0426,33.0023,16
FABU,57.0011,12.7184,16
SGRR,44.2228,25.9743,16
ASSE,52.1303,10.6729,16
K17K,62.7161,-158.3014,16
PTEO,37.5456,-8.7242,16
PMAFR,38.9554,-9.2827,16
LOR,47.2683,3.8589,16
M14K,60.7515,-161.9600,16
KULLO,74.5805,-57.2201,16
AK08,50.6338,29.2548,16
MMRI,-8.6357,122.2376,16
YKAW3,62.5616,-114.6099,16
RAUS,66.4366,14.0416,16
YEDI,39.4377,40.5443,16
MLSI,4.2668,96.4040,16
ERM,42.0150,143.1571,16
CLF,48.0258,2.2600,16
TAOE,-8.8549,-140.1482,16
ESLA,39.6743,-3.9631,16
BLEU,56.3040,15.8145,16
FRGS,45.1577,19.8102,16
CAVI,40.2022,29.8425,16
L20K,62.4787,-153.8798,16
EBL,55.7733,-3.0436,16
MBDF,44.7269,6.7714,16
KOZT,37.4805,35.8267,16
IKL,36.2386,33.6853,16
G16K,65.3936,-162.3547,16
AK10,50.5990,29.2513,16
AYDB,37.9466,27.8908,16
DDI,30.3225,78.0556,16
PEA0B,53.1082,157.6989,16
HOFOF,25.3994,49.9026,16
YOZ,39.6400,35.3200,16
SNY,41.8278,123.5780,16
F26K,67.6946,-144.1455,16
LUNU,55.6320,13.4464,16
KFJS1,28.1866,47.9416,16
GOA,15.4917,73.8247,16
LOD,39.8890,32.7640,16
LTK,38.0230,22.9670,16
BALJ,32.0873,35.6400,16
M16K,61.0224,-158.9593,15
NPS,35.2625,25.6125,15
C16K,68.2746,-165.3436,15
KUR,45.2333,147.8667,15
G29M,66.9116,-138.0223,15
NGP,21.1699,79.0509,15
TBLU,63.2518,10.2607,15
DGRG,41.4507,45.3732,15
SRDT,14.3495,99.1212,15
PTL,38.0489,23.8647,15
NEST,40.4147,21.0489,15
SRCK,40.0417,30.6259,15
L18K,62.2195,-156.6886,15
EREA,38.4199,23.9318,15
CART,37.5868,-1.0012,15
CANT,40.6061,33.6196,15
MHMT,18.1764,97.9310,15
VAF,63.0422,22.6715,15
PYA1,44.0625,43.0958,15
JMB,42.4911,26.5297,15
KAC,57.4999,-5.2982,15
SIVA,35.0175,24.8100,15
SIGR,39.2114,25.8553,15
GIMEL,46.5336,6.2655,15
YRC,53.2506,-4.5741,15
C24K,69.7200,-148.7009,15
CABF,46.6111,6.0875,15
E46A,46.3665,-84.3062,15
PERS,46.6359,15.1167,15
SMTH,40.4709,25.5304,15
VSLR,43.4612,40.0324,15
PGBU,55.8115,-4.4837,15
MPEP,43.3560,23.7401,15
KDZE,41.3132,31.4429,15
MALT,38.3134,38.4273,15
UPM,43.2031,18.9051,15
PANC,45.8723,27.1477,15
KCSI,3.5220,97.7715,15
WANAN,26.8988,48.4775,15
TNA,65.5606,-167.9239,15
BJUU,56.0739,13.0237,15
BHPL,23.2410,77.4245,15
I26K,65.3064,-143.1541,15
SHEM,52.7295,174.0994,15
I17K,63.8864,-160.6950,15
CHBY,38.5823,32.8901,15
KARJ,32.0169,35.5508,15
SET,36.2000,5.4000,15
D27M,69.2430,-140.9648,15
SERE,38.9463,33.5640,15
M29M,62.4435,-138.4624,15
M31M,62.2024,-134.3906,15
DZM,-22.0710,166.4440,15
MERS,36.8677,34.5222,15
SCTE,40.0724,18.4675,15
AMAZ,31.5325,34.9154,15
AK07,50.5507,29.2044,14
AK05,50.6197,29.2036,14
GYA0,37.9295,58.1171,14
EDM,53.2217,-113.3500,14
ARMT,40.5656,28.8616,14
SMF,46.6453,3.8411,14
MOE,38.5228,-8.3506,14
KOPR,39.9916,41.8534,14
CUT,62.4047,-150.2690,14
YAYX,38.9386,33.8115,14
TVSB,39.4497,29.4615,14
LOZB,43.3701,26.5930,14
J14K,62.7492,-163.5540,14
J17K,63.3965,-159.0777,14
J18K,63.4650,-156.7154,14
DELO,44.5177,-77.6186,14
RNPP9,51.4120,25.8905,14
EREN,35.5300,34.1700,14
NEUB,51.2083,11.7752,14
ISOG,65.5480,-38.9757,14
TEH,35.7367,51.3817,14
JBP,23.1667,79.9833,14
RJF,45.3044,1.5164,14
SLJL,37.6493,57.8915,14
TAHT,36.3757,36.1852,14
KSHT,32.9820,35.8110,14
DRE,46.1733,13.6450,14
PAYA,19.3603,99.8692,14
WME,53.3966,-4.3034,14
BDHA,13.9750,45.5670,14
MQOL,20.6638,37.0507,14
HSUJ,32.1050,36.1930,14
SVW2,61.0973,-155.5809,14
DFRA,36.5450,5.8769,14
OHAK,57.2225,-153.2875,14
BKB,-1.2605,116.8963,14
DOMR,43.2920,41.6240,14
DSF,38.4112,22.5271,14
N18K,60.6801,-155.8897,14
TMU,24.2296,94.3003,14
BOK,23.7948,85.8858,14
ATHU,37.9665,23.7845,14
CMAH,36.6250,7.4197,14
PBCC,49.6857,13.9956,14
KEK,39.7130,19.7987,14
ATH,37.9722,23.7167,14
F25K,67.5933,-145.6430,14
ES06,39.6757,-3.9521,14
KHAL,38.3703,29.4917,14
KSV,48.3150,25.0667,14
PETR,45.7230,27.2310,14
MRKA,38.7058,23.5875,14
SIMI,38.6585,69.0083,14
LUWI,-1.0418,122.7717,14
CADS,46.2280,13.7369,14
LKR,38.6506,22.9994,14
NUUK,64.1800,-51.7300,13
TUC,32.3098,-110.7847,13
IWEX,52.3743,-6.7745,13
PDSI,-0.9118,100.4617,13
SBF,43.8631,7.4352,13
SBA,-77.8503,166.7560,13
HKPS,22.2776,114.1415,13
MUGIO,45.9219,9.0417,13
LFF,44.9395,0.7402,13
ABSA,36.2733,7.4778,13
BR105,39.7180,33.6173,13
HARP,62.3987,-145.1568,13
MAHO,39.8959,4.2665,13
BBLS,43.8660,19.4050,13
H27K,66.2305,-141.5265,13
TREB,42.7170,18.3500,13
MRMT,40.6032,27.5957,13
L16K,61.7105,-159.4747,13
EFOR,44.0795,28.6323,13
JBG,42.4230,70.5440,13
JGF,35.6040,137.3542,13
JCJ,27.0955,142.1846,13
DAGI,41.0778,41.9142,13
MUSM,38.7240,41.5118,13
PARRA,38.8153,-8.0402,13
ALMR,39.1555,-8.5768,13
AMR2,31.9899,47.1902,13
SKR,50.6830,156.1170,13
KSANE,-17.8002,25.1619,13
MJB9,36.5458,138.2039,13
KUQ,58.1090,-68.4113,13
NACB,24.1738,121.5947,13
URLA,38.3602,26.5955,13
C19K,69.1049,-159.5874,13
GRR,48.3883,-0.8583,13
YOVA,37.5871,44.2896,13
DEV,45.8833,22.9033,13
JMN,33.7315,133.8763,13
RCHB,50.1560,5.2280,13
G26K,66.9498,-143.7848,13
NEO,39.3067,23.2235,13
FORT,-30.7790,128.0590,13
D62A,47.0819,-69.0501,13
MATE,40.6493,16.7047,13
L29M,63.1090,-138.1290,13
AK02,50.6573,29.2057,13
PTO,41.1386,-8.6022,13
CIFT,39.3612,31.0625,13
SAHR,45.7266,26.6855,13
BR106,39.7338,33.6180,12
ANX,38.5933,21.9209,12
BOZC,39.8419,26.0528,12
BLKN,64.3185,-96.0024,12
HANI,38.4147,40.3994,12
ROSF,48.3364,-3.2736,12
ADVT,40.4332,29.7383,12
CASP,42.7908,10.8652,12
AK06,50.5858,29.1985,12
VIVF,44.8561,4.6728,12
GAL1,54.8664,-4.7114,12
M22K,61.7531,-150.1205,12
MI30,50.7460,28.1890,12
RAC,50.0833,18.1942,12
IBST,37.7000,46.8920,12
PVO,38.6167,21.5259,12
SHBH2,24.0916,51.3045,12
K15K,62.2938,-161.5308,12
SJPF,43.1133,-1.2250,12
CGJI,-6.6135,105.6929,12
BHUJ,23.2540,69.6540,12
K13K,61.9331,-164.6555,12
MNTX,31.6985,-105.3821,12
DIM,42.0457,25.5778,12
LTX,29.3339,-103.6670,12
RNPP8,51.3362,25.8548,12
PSBE,39.5142,-8.7955,12
YUK4,61.3448,-138.6462,12
M20K,61.8823,-153.1318,12
RNPP5,51.2291,25.8855,12
JTM,40.7895,141.0647,12
NE56,46.6760,30.8990,12
RER,-21.1590,55.7460,12
DAT,36.7290,27.5778,12
KUM,5.2902,100.6492,12
MNSI,0.7955,99.5796,12
OHH,40.5244,72.7850,12
BMRD,50.3025,4.7675,12
KLSI,-4.6900,104.7300,12
BKSI,-5.3219,120.1224,12
CRES,45.8260,15.4569,12
CASM,36.2600,6.4900,12
GAZI,36.2347,32.3157,12
SEW,60.1043,-149.4526,12
KASTN,51.2027,8.4162,12
KAAM,0.4926,72.9949,12
BTLR,42.6639,46.2222,12
MARCO,40.2972,15.8063,12
UPNV,72.7829,-56.1395,12
QUIF,47.9167,-3.1656,12
KLYT,41.2530,29.0420,12
SLE,47.7645,8.4924,12
BOLV,38.7183,30.9502,12
IRSR,26.9625,60.8738,12
KFL,38.1096,20.7880,12
PGF,42.5483,8.9994,12
MTBS,43.1300,76.4290,12
AVF,46.7906,3.3526,12
AVE,33.2981,-7.4133,12
HOMI,40.0452,41.9055,12
KIZK,36.4803,34.1437,12
HINF,47.8167,6.8531,12
FLN,48.7625,-0.4819,12
BAL3X,47.9355,29.6013,12
TVAN,38.5286,43.4061,12
JAY,-2.5148,140.7047,11
AFSR,39.4468,33.0707,11
AMRR,44.6103,27.3354,11
N15K,60.1686,-160.0921,11
YUK3,61.7755,-140.4595,11
SIJI,-0.8691,131.2661,11
C21K,69.1565,-154.7833,11
PUL,59.7728,30.3222,11
ERIK,40.6708,26.5132,11
D17K,67.6988,-163.0831,11
NEWG,55.1173,-4.2300,11
C17K,68.4753,-163.1776,11
BATG,47.2767,-66.0599,11
SMIA,38.8791,23.2090,11
OLDB,51.6609,-2.5515,11
CHUM,63.8827,-152.3152,11
JNKS,41.0528,75.6258,11
CEYT,37.0100,35.7480,11
TGI,20.7685,97.0341,11
FYTO,39.4086,22.9396,11
KRJI,-2.0912,101.4619,11
ONAU,57.3965,11.9177,11
LISJ,31.2400,35.4810,11
BCI,42.3666,20.0675,11
CLGH,55.0828,-6.1106,11
