STA,lat,lon,n_arrivals
PLOR,45.8512,26.6498,317
VYHS,48.4940,18.8361,314
VSR,51.2162,39.1664,314
EKA,55.3331,-3.1592,310
DQM,19.9289,57.5393,304
BRG,50.8732,13.9428,302
ILBA,33.6245,46.2074,299
NC405,61.1128,11.7153,297
NIAN,27.5596,56.8349,293
ARSB,41.3274,72.9728,291
IGHG,34.3294,46.5685,288
FETA,47.0211,10.7291,287
SOC,43.5833,39.7167,284
VRAC,49.3083,16.5935,284
MZWR,23.7610,53.8799,283
MBAR,-0.6019,30.7382,281
VRH,51.2025,41.7215,281
VTS,42.6180,23.2350,281
BUR08,47.6440,25.2002,280
LPSR,52.6012,38.9282,280
BSRN,31.9651,59.1259,279
SPITS,78.1777,16.3700,278
TESR,46.5118,26.6489,277
MOTA,47.3448,11.1037,277
TOA0,13.1477,1.6947,276
ALN,40.8972,26.0456,270
TAM,22.7917,5.5233,270
WTTA,47.2638,11.6363,270
KIS,46.9980,28.8180,269
IFIR,35.6415,52.7536,268
KDJ,41.1272,77.1944,266
XAN,34.0394,108.9214,265
BOOM,42.4922,75.9422,259
GAR,39.0000,70.3160,259
CFR,45.1780,28.1362,254
NRN,41.4222,75.9700,250
IVIS,34.5264,46.8496,249
AGG,39.0222,22.3303,249
ILIN,34.9186,46.9624,248
KOLS,48.9333,22.2731,246
SQTA,47.2205,11.2087,246
SHAO,18.0228,55.6251,245
IRAZ,35.4046,49.9290,245
AB31,49.2556,59.9431,244
TARG,41.7291,77.8048,242
INK,68.3065,-133.5254,241
KMI,25.1233,102.7400,237
KONO,59.6491,9.5982,237
KHRK,29.2543,50.3133,234
GTMR,32.4705,49.1123,233
BELG,52.3934,47.6244,231
KIRV,58.5850,49.4158,230
WATA,47.3357,11.5763,227
ANN,44.8000,37.4330,226
RBK,17.5035,54.2039,225
ELL,36.7482,29.9085,224
SORM,48.1349,28.3513,221
SHRO,35.9900,56.0100,220
IKOO,32.4241,59.0044,220
SEY,62.9328,152.3822,219
KWP,49.6314,22.7075,215
PALK,7.2728,80.7022,214
KRLC,50.0753,16.7817,214
KBA,47.0784,13.3447,214
KSAR,37.4421,127.8844,212
ITM,37.1797,21.9267,210
MOS,55.7383,37.6250,210
OKC,49.8375,18.1472,209
KLR,49.2300,131.7500,202
CHGR,38.6569,69.1582,202
SUW,54.0125,23.1808,202
KMBO,-1.1268,37.2523,199
RETA,47.4871,10.7623,198
FNA,40.7838,21.3762,197
QAM,33.7606,51.4397,197
DRGR,46.7916,22.7111,197
IDOB,33.7874,48.1774,194
UPC,50.5074,16.0121,193
DAMV,35.6302,51.9708,193
PRU,49.9883,14.5417,193
TLY,51.6807,103.6438,192
IANJ,35.4672,53.9144,192
LSA,29.7000,91.1500,189
DOBD,31.9903,54.5118,187
NGCH,25.3587,61.1364,187
ISP,37.8226,30.5221,186
SHK1,32.3280,50.8845,186
MOA,47.8495,14.2659,186
MAK,42.9610,47.5050,185
GYA0B,37.9295,58.1171,185
TIP,39.1786,16.7583,184
UMQ,25.5252,55.6623,184
IGLO,36.5024,53.8302,183
PAB,39.5458,-4.3483,183
QABG,35.7085,49.5824,181
KVAR,43.9557,42.6952,181
VSU,58.4620,26.7347,180
LIT,40.1008,22.4900,179
FITZ,-18.0982,125.6401,177
ITEG,32.8965,58.7488,176
SIM,44.9490,34.1160,175
KBD,29.1756,47.6933,175
ZHSF,29.6110,60.7750,172
SENIN,46.3633,7.2993,171
GEC2,48.8451,13.7016,168
PRZ,42.5000,78.4000,168
RDF,28.9259,47.5497,168
KKOM,34.1744,47.5119,166
USRK,44.1998,131.9888,166
YSS,46.9539,142.7550,165
ARR,45.3675,24.6336,165
ECH,48.2158,7.1583,165
BPAW,64.0997,-150.9873,164
PSZ,47.9184,19.8944,164
IPRN,36.2419,52.3381,164
MANT,38.4908,28.5578,164
ABTA,46.7474,12.5123,163
IKMR,33.5178,48.3803,162
KHNJ,27.9477,57.7056,162
ILGA,41.0521,33.7165,161
VORD,50.9660,39.2930,161
DOPR,45.9674,25.3887,160
LSZ,-15.2766,28.1882,159
FIA0,61.4436,26.0771,159
MA2,59.5753,150.7680,159
NB201,61.0495,11.2939,158
BZS,45.6167,21.6167,156
LVZ,67.8979,34.6514,155
BNN,38.8520,35.8460,155
UMR,29.5519,47.7158,154
RDO,41.1462,25.5375,154
ISHM,35.8067,53.2922,154
ZEI,42.7881,43.9014,153
MJAR,36.5417,138.2090,152
QALM,36.4320,50.6465,152
CD2,30.9100,103.7580,151
KCHF,34.2750,47.0404,150
KSHB,30.2412,55.1174,149
PETK,53.1082,157.6989,149
DAG,76.7714,-18.6547,148
BSD,55.1139,14.9147,147
HYB,17.4169,78.5531,147
BR101,39.7254,33.6391,147
VORR,51.6717,39.2082,147
MK32,46.7937,82.2904,146
TOLK,68.6408,-149.5724,145
GEVA,38.3122,43.0586,144
CONA,47.9282,15.8618,144
DGZ,49.7005,87.4316,143
MRVT,37.6593,56.0893,143
ILAS,35.3822,52.9589,143
MODS,48.3736,17.2774,142
SHRT,33.6460,60.2910,142
SBZV,36.3883,57.6106,141
KSHD,30.3452,57.5125,141
KHL1,27.6380,53.3007,141
MIB,29.8032,47.3388,141
DAMY,14.5725,44.3917,141
NRCA,42.8336,13.1143,140
NC602,60.7353,11.5414,140
SHL,25.5667,91.8833,140
GROC,43.2027,45.7961,139
DAVOX,46.7805,9.8795,139
MDOK,43.1631,77.0481,139
CTI,46.0481,11.6498,138
